loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6422,7.242194652557373,1.0000000000000002e-06,0.020491803278688523,10,,,,,,,,,,,,,
0.6229,4.724024295806885,2.0000000000000003e-06,0.040983606557377046,20,,,,,,,,,,,,,
0.6328,9.239925384521484,3e-06,0.06147540983606557,30,,,,,,,,,,,,,
0.5791,10.12925910949707,4.000000000000001e-06,0.08196721311475409,40,,,,,,,,,,,,,
0.5277,4.944199562072754,5e-06,0.10245901639344263,50,,,,,,,,,,,,,
0.4724,9.173035621643066,6e-06,0.12295081967213115,60,,,,,,,,,,,,,
0.4147,8.820363998413086,7.000000000000001e-06,0.14344262295081966,70,,,,,,,,,,,,,
0.3151,7.668491840362549,8.000000000000001e-06,0.16393442622950818,80,,,,,,,,,,,,,
0.3111,4.437751293182373,9e-06,0.18442622950819673,90,,,,,,,,,,,,,
0.2998,8.322698593139648,1e-05,0.20491803278688525,100,,,,,,,,,,,,,
0.194,2.277230978012085,1.1000000000000001e-05,0.22540983606557377,110,,,,,,,,,,,,,
0.1339,7.952044486999512,1.2e-05,0.2459016393442623,120,,,,,,,,,,,,,
0.0755,0.8534125685691833,1.3000000000000001e-05,0.26639344262295084,130,,,,,,,,,,,,,
0.3259,0.8347895741462708,1.4000000000000001e-05,0.28688524590163933,140,,,,,,,,,,,,,
0.1525,47.02367401123047,1.5e-05,0.3073770491803279,150,,,,,,,,,,,,,
0.1109,0.19501246511936188,1.6000000000000003e-05,0.32786885245901637,160,,,,,,,,,,,,,
0.0529,0.37219467759132385,1.7000000000000003e-05,0.3483606557377049,170,,,,,,,,,,,,,
0.0049,0.1708167940378189,1.8e-05,0.36885245901639346,180,,,,,,,,,,,,,
0.1358,0.0637340322136879,1.9e-05,0.38934426229508196,190,,,,,,,,,,,,,
0.0025,0.06292228400707245,2e-05,0.4098360655737705,200,,,,,,,,,,,,,
0.478,0.08312316983938217,2.1e-05,0.430327868852459,210,,,,,,,,,,,,,
0.3596,42.66453552246094,2.2000000000000003e-05,0.45081967213114754,220,,,,,,,,,,,,,
0.006,1.5500719547271729,2.3000000000000003e-05,0.4713114754098361,230,,,,,,,,,,,,,
0.0025,0.07144039869308472,2.4e-05,0.4918032786885246,240,,,,,,,,,,,,,
0.0028,0.043894968926906586,2.5e-05,0.5122950819672131,250,,,,,,,,,,,,,
