loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7085,14.144789695739746,1.0000000000000002e-06,0.019120458891013385,10,,,,,,,,,,,,,
0.715,9.57529067993164,2.0000000000000003e-06,0.03824091778202677,20,,,,,,,,,,,,,
0.6864,10.28545093536377,3e-06,0.05736137667304015,30,,,,,,,,,,,,,
0.6486,6.435455799102783,4.000000000000001e-06,0.07648183556405354,40,,,,,,,,,,,,,
0.6034,10.346636772155762,5e-06,0.09560229445506692,50,,,,,,,,,,,,,
0.4819,8.369226455688477,6e-06,0.1147227533460803,60,,,,,,,,,,,,,
0.4548,6.441623210906982,7.000000000000001e-06,0.1338432122370937,70,,,,,,,,,,,,,
0.3809,5.808198928833008,8.000000000000001e-06,0.15296367112810708,80,,,,,,,,,,,,,
0.2978,6.0641913414001465,9e-06,0.17208413001912046,90,,,,,,,,,,,,,
0.2684,3.4851677417755127,1e-05,0.19120458891013384,100,,,,,,,,,,,,,
0.2893,4.52321720123291,1.1000000000000001e-05,0.21032504780114722,110,,,,,,,,,,,,,
0.2383,2.4263248443603516,1.2e-05,0.2294455066921606,120,,,,,,,,,,,,,
0.0793,2.53463077545166,1.3000000000000001e-05,0.248565965583174,130,,,,,,,,,,,,,
0.1478,0.6242015361785889,1.4000000000000001e-05,0.2676864244741874,140,,,,,,,,,,,,,
0.1932,0.5276176333427429,1.5e-05,0.28680688336520077,150,,,,,,,,,,,,,
0.0145,0.23376069962978363,1.6000000000000003e-05,0.30592734225621415,160,,,,,,,,,,,,,
0.5524,0.7461658716201782,1.7000000000000003e-05,0.32504780114722753,170,,,,,,,,,,,,,
0.2953,0.12811139225959778,1.8e-05,0.3441682600382409,180,,,,,,,,,,,,,
0.0117,7.550753593444824,1.9e-05,0.3632887189292543,190,,,,,,,,,,,,,
0.3207,0.09973274171352386,2e-05,0.3824091778202677,200,,,,,,,,,,,,,
0.007,0.0616782121360302,2.1e-05,0.40152963671128106,210,,,,,,,,,,,,,
0.0028,0.058995287865400314,2.2000000000000003e-05,0.42065009560229444,220,,,,,,,,,,,,,
0.2869,0.05934325233101845,2.3000000000000003e-05,0.4397705544933078,230,,,,,,,,,,,,,
0.1431,0.06777150183916092,2.4e-05,0.4588910133843212,240,,,,,,,,,,,,,
0.1617,0.056581199169158936,2.5e-05,0.4780114722753346,250,,,,,,,,,,,,,
0.0054,0.28948917984962463,2.6000000000000002e-05,0.497131931166348,260,,,,,,,,,,,,,
0.2969,0.048585232347249985,2.7000000000000002e-05,0.5162523900573613,270,,,,,,,,,,,,,
0.2765,0.1382359117269516,2.8000000000000003e-05,0.5353728489483748,280,,,,,,,,,,,,,
0.0529,0.18732605874538422,2.9e-05,0.5544933078393881,290,,,,,,,,,,,,,
0.2739,0.16986824572086334,3e-05,0.5736137667304015,300,,,,,,,,,,,,,
0.0084,6.829342842102051,3.1e-05,0.5927342256214149,310,,,,,,,,,,,,,
0.0152,0.02746426872909069,3.2000000000000005e-05,0.6118546845124283,320,,,,,,,,,,,,,
0.0399,0.044547468423843384,3.3e-05,0.6309751434034416,330,,,,,,,,,,,,,
0.0017,0.02045159600675106,3.4000000000000007e-05,0.6500956022944551,340,,,,,,,,,,,,,
0.3084,0.03513335809111595,3.5e-05,0.6692160611854685,350,,,,,,,,,,,,,
0.0218,72.34526824951172,3.6e-05,0.6883365200764818,360,,,,,,,,,,,,,
0.0009,0.026036346331238747,3.7e-05,0.7074569789674953,370,,,,,,,,,,,,,
0.2499,0.02853863686323166,3.8e-05,0.7265774378585086,380,,,,,,,,,,,,,
0.1683,0.13165156543254852,3.9000000000000006e-05,0.745697896749522,390,,,,,,,,,,,,,
0.0016,0.03334072604775429,4e-05,0.7648183556405354,400,,,,,,,,,,,,,
0.0159,0.022308047860860825,4.1e-05,0.7839388145315488,410,,,,,,,,,,,,,
0.0432,0.016688019037246704,4.2e-05,0.8030592734225621,420,,,,,,,,,,,,,
0.7753,1.9672185182571411,4.3e-05,0.8221797323135756,430,,,,,,,,,,,,,
0.0365,0.053068261593580246,4.4000000000000006e-05,0.8413001912045889,440,,,,,,,,,,,,,
0.3924,0.27952665090560913,4.5e-05,0.8604206500956023,450,,,,,,,,,,,,,
0.1889,0.042751893401145935,4.600000000000001e-05,0.8795411089866156,460,,,,,,,,,,,,,
0.17,0.17158177495002747,4.7e-05,0.8986615678776291,470,,,,,,,,,,,,,
0.0065,0.022402366623282433,4.8e-05,0.9177820267686424,480,,,,,,,,,,,,,
0.0014,2.1868600845336914,4.9e-05,0.9369024856596558,490,,,,,,,,,,,,,
0.2687,10.01941204071045,5e-05,0.9560229445506692,500,,,,,,,,,,,,,
0.0014,0.03392564505338669,4.976359338061466e-05,0.9751434034416826,510,,,,,,,,,,,,,
0.1763,0.02802887372672558,4.9527186761229313e-05,0.994263862332696,520,,,,,,,,,,,,,
,,,1.0,523,0.11565426737070084,0.9899497487437185,0.9898943997664114,0.9899497487437185,0.98990492019591,92.1004,15.125,0.955,,,,,
0.1147,0.07175358384847641,4.929078014184397e-05,1.0133843212237095,530,,,,,,,,,,,,,
0.0028,0.1113436296582222,4.905437352245863e-05,1.0325047801147227,540,,,,,,,,,,,,,
0.0009,0.01000809296965599,4.8817966903073283e-05,1.0516252390057361,550,,,,,,,,,,,,,
0.1679,0.010713610798120499,4.858156028368794e-05,1.0707456978967496,560,,,,,,,,,,,,,
0.0004,0.013057024218142033,4.83451536643026e-05,1.089866156787763,570,,,,,,,,,,,,,
0.0003,0.008843371644616127,4.810874704491726e-05,1.1089866156787762,580,,,,,,,,,,,,,
0.0003,0.009126769378781319,4.787234042553192e-05,1.1281070745697896,590,,,,,,,,,,,,,
0.1853,0.008576230145990849,4.763593380614658e-05,1.147227533460803,600,,,,,,,,,,,,,
0.0003,0.01004419382661581,4.739952718676123e-05,1.1663479923518165,610,,,,,,,,,,,,,
0.3492,0.05982375890016556,4.716312056737589e-05,1.1854684512428297,620,,,,,,,,,,,,,
0.0948,0.13171395659446716,4.692671394799055e-05,1.2045889101338432,630,,,,,,,,,,,,,
0.0213,0.0346626341342926,4.669030732860521e-05,1.2237093690248566,640,,,,,,,,,,,,,
0.2175,0.01486362423747778,4.645390070921986e-05,1.24282982791587,650,,,,,,,,,,,,,
0.0917,0.040886640548706055,4.621749408983452e-05,1.2619502868068833,660,,,,,,,,,,,,,
0.0007,0.01590738259255886,4.598108747044918e-05,1.2810707456978967,670,,,,,,,,,,,,,
0.1779,0.016223158687353134,4.574468085106383e-05,1.3001912045889101,680,,,,,,,,,,,,,
0.0748,0.02286047302186489,4.550827423167849e-05,1.3193116634799236,690,,,,,,,,,,,,,
0.0007,0.014413115568459034,4.527186761229315e-05,1.338432122370937,700,,,,,,,,,,,,,
0.0004,0.022832456976175308,4.50354609929078e-05,1.3575525812619502,710,,,,,,,,,,,,,
0.3298,0.00590986805036664,4.479905437352246e-05,1.3766730401529637,720,,,,,,,,,,,,,
0.0004,0.018635844811797142,4.456264775413712e-05,1.395793499043977,730,,,,,,,,,,,,,
